distance(Å-1)	fre/THz	gvx(m/s)	gvy(m/s)	gvz(m/s)	gv(m/s)	band
0.0897008	0.0548740042	2372.9582	369.43676999999997	1322.518	2741.6177717361097	1.0
0.0904178	0.0731474152	2370.8149599999997	370.30825	1320.89742	2739.0987146761468	1.0
0.0911349	0.0914054975	2368.06265	371.43287	1318.81437	2735.86447649732	1.0
0.091852	0.1096444624	2364.70377	372.81359	1316.26933	2731.918527672366	1.0
0.0925691	0.1278605493	2360.74139	374.45385	1313.26296	2727.265149989439	1.0
0.0932862	0.1460500318	2356.17916	376.3575	1309.7961400000002	2721.909463994615	1.0
0.0940033	0.1642092228	2351.0213799999997	378.52869	1305.87002	2715.8575086894784	1.0
0.0947204	0.1823344793	2345.27295	380.97172	1301.4861	2709.1162267305313	1.0
0.0954375	0.2004222079	2338.9394500000003	383.69097	1296.64624	2701.693539787957	1.0
0.0961546	0.2184688696	2332.0271300000004	386.69068000000004	1291.3527800000002	2693.598377536753	1.0
0.0968717	0.2364709842	2324.54298	389.97489	1285.6085500000002	2684.840744724144	1.0
0.0975888	0.254425135	2316.49471	393.54725	1279.417	2675.431748209912	1.0
0.0983059	0.2723279733	2307.89084	397.41086	1272.78223	2665.383673320901	1.0
0.099023	0.2901762228	2298.74069	401.56818000000004	1265.7091	2654.710019733417	1.0
0.09974	0.3079666832	2289.0544099999997	406.02079	1258.20326	2643.4255081857896	1.0
0.1004571	0.3256962348	2278.84307	410.76933	1250.27126	2631.5462001906144	1.0
0.1011742	0.3433618422	2268.1186199999997	415.81332	1241.92058	2619.0894445413014	1.0
0.1018913	0.3609605577	2256.8939499999997	421.15102999999993	1233.15975	2606.0739553275776	1.0
0.1026084	0.3784895255	2245.18293	426.77937999999995	1223.9983300000001	2592.5198051701277	1.0
0.1033255	0.3959459846	2233.00039	432.69377999999995	1214.44703	2578.4484167162746	1.0
0.1040426	0.4133272722	2220.36215	438.88806999999997	1204.51771	2563.8825497367447	1.0
0.1047597	0.4306308269	2207.285	445.35441999999995	1194.22342	2548.8462502699203	1.0
0.1054768	0.4478541911	2193.7867	452.08324	1183.57845	2533.3648154756925	1.0
0.1061939	0.4649950137	2179.88598	459.06317	1172.59826	2517.4647086316895	1.0
0.106911	0.4820510523	2165.6024500000003	466.28094999999996	1161.29956	2501.1734373759646	1.0
0.1076281	0.4990201745	2150.95659	473.72148000000004	1149.7002200000002	2484.519448212444	1.0
0.1083451	0.5159003594	2135.96967	481.36778	1137.81927	2467.531977901273	1.0
0.1090622	0.5326896984	2120.66366	489.20099	1125.67684	2450.2408688890077	1.0
0.1097793	0.5493863948	2105.06115	497.20041000000003	1113.2940800000001	2432.6763865147655	1.0
0.1104964	0.5659887639	2089.18523	505.34353999999996	1100.69308	2414.8689974882222	1.0
0.1112135	0.5824952311	2073.05937	513.6061599999999	1087.89678	2396.8491490014785	1.0
0.1119306	0.59890433	2056.70729	521.96236	1074.92886	2378.647017961432	1.0
0.1126477	0.6152146997	2040.1527800000001	530.3846599999999	1061.81361	2360.2922267563135	1.0
0.1133648	0.6314250806	2023.41959	538.84407	1048.57582	2341.8136175320624	1.0
0.1140819	0.64753431	2006.53122	547.31021	1035.24062	2323.2389339245583	1.0
0.114799	0.6635413159	1989.51078	555.75139	1021.8333700000001	2304.5945819750377	1.0
0.1155161	0.6794451105	1972.3808099999999	564.13469	1008.3795200000001	2285.905348975124	1.0
0.1162332	0.6952447822	1955.16309	572.42601	994.90444	2267.194100679203	1.0
0.1169502	0.7109394865	1937.87846	580.59019	981.43334	2248.4815532531643	1.0
0.1176673	0.7265284362	1920.5466900000001	588.5909800000001	967.99115	2229.786042804475	1.0
0.1183844	0.7420108894	1903.18623	596.39105	954.6023399999999	2211.12318474462	1.0
0.1191015	0.757386137	1885.81411	603.952	941.29095	2192.5057647201284	1.0
0.1198186	0.7726534887	1868.4457200000002	611.2342100000001	928.0803799999999	2173.943389281696	1.0
0.1205357	0.7878122573	1851.09466	618.19675	914.99344	2155.442334472001	1.0
0.1212528	0.8028617408	1833.77253	624.79718	902.0522500000001	2137.005257281464	1.0
0.1219699	0.8178012035	1816.48879	630.99124	889.27825	2118.630990775757	1.0
0.122687	0.8326298546	1799.25053	636.7325400000001	876.69216	2100.314248060418	1.0
0.1234041	0.8458801722	938.5890699999999	1036.54765	208.29119	1413.7771015530006	1.0
0.1241212	0.8550632828	875.81865	961.166	196.50375	1315.1091631525824	1.0
0.1248383	0.8635986192	813.6577300000001	887.7202000000001	184.40513	1218.2328624064899	1.0
0.1255553	0.8715015181	753.22831	817.5377900000001	172.21304	1124.890330747661	1.0
